
Subjects incorporated to date: 019
Data file started on machine PL_LABXP4

**********************************************************************
Subject 1, 04/21/2009 10:56:15 on PL_LABXP4, refresh 9.99ms, ID JR
  Item       RT
 54000    389.52
 54001    194.92
 54002    169.60
 54003    209.77
 54004    184.92
 54005    261.31
 54006    250.16
 54007    219.78
 54008    179.81
 54009    262.45
 54010    190.71
 54011    219.01
 54012    187.47
 54013    190.41
 54014    190.49
 54015    438.76
 54251   1432.55
 52000    379.53
 52001    199.79
 52002    219.76
 52003    189.49
 52004    342.11
 52005    249.02
 52006    228.45
 52007    262.04
 52008    239.74
 52009    279.28
 52010    198.71
 52011    171.45
 52012    360.67
 52013    215.37
 31000    449.74
 31001    190.19
 31002    200.08
 31003    210.07
 31004    279.97
 31005    322.61
 31006    359.92
 31007    312.20
 31008    181.12
 31009    559.60
 31010    185.79
 31011    185.13
 31012    601.41
 31013    510.45
 31251   1598.18
 70000    399.84
 70001    200.07
 70002    219.65
 70003    384.24
 70004    260.02
 70005    378.62
 70006    299.95
 70007    225.88
 70008    247.53
 70009    240.68
 70010    363.09
 70011    734.36
 70012    166.69
 70013    187.18
 70014    361.25
 59000    403.82
 59001    249.84
 59002    333.76
 59003    201.92
 59004    268.09
 59005    193.24
 59006    173.79
 59007    199.85
 59008    192.97
 59009    284.00
 59010    212.52
 59011    246.56
 59012    217.31
 59013    280.41
 59014    217.94
 59015    189.94
 59016    359.85

**********************************************************************
Subject 2, 04/21/2009 11:44:21 on PL_LABXP4, refresh 9.99ms, ID KC
  Item       RT
101000  12727.52
101001   2200.43
101002    937.11
101003    789.03
101004    350.18
101005    981.35
101006    739.08
101007    827.68
101008    552.05
101009    983.53
101010    628.96
101011    923.57
101012    498.30
101013    399.04
101014   1098.91
101251   3142.68
102000   1804.23
102001    548.13
102002    717.19
102003    541.86
102004    646.72
102005    743.23
102006   1395.06
102007    576.14
102008   1091.91
102009    599.24
102010    493.69
102011    372.60
102012    351.58
102013    750.12
103000   2536.85
103001   1522.78
103002   1418.22
103003    246.41
103004    429.89
103005    749.08
103006    446.75
103007    854.02
103008    729.39
103009    527.72
103010    401.11
103011    402.39
103012    358.74
103013    320.12
103014    342.70
103015    573.84
103251   1990.88
104000    739.37
104001    539.64
104002    571.90
104003    439.78
104004    519.65
104005    308.33
104006    613.60
104007    444.37
104008    366.59
104009    409.49
104010    388.37
104011    455.24
104012    487.34
104013    545.95
104014    882.19
105000    712.81
105001    473.80
105002    462.83
105003    561.35
105004    307.13
105005    459.74
105006    513.90
105007    804.48
105008    266.45
105009    512.97
105010    371.02
